index,term,value
98,[geo] A Republican likes geoengineering. Is that middle ground?,4
99,"[geo] [CDR] Geoengineering: neither economical, nor ethical-a risk-reward nexus analysis of carbon dioxide removal",4
100,[geo] Model-based Assessment of the CO2 Sequestration Potential of Coastal Ocean Alkalinization - Feng - 2017 - Earth's Future - Wiley Online Library,4
101,"[geo] Get Paid Watching The Grass Grow: Carbon Sequestration, Texas-Style",4
102,[geo] Klima der Gerechtigkeit | Open letter by CBD Alliance members to the UNFCCC: „Geoengineering is a distraction from the real priorities – emission reductions“,4
103,[geo] SRMGI - correcting a mistake by Ray Pierrehumbert,3
104,"[geo] There is no Plan B for dealing with the climate crisis: Bulletin of the Atomic Scientists: Vol 75, No 5",3
105,[geo] [CDR] GNDE-A-Blueprint-for-Europes-Just-Transition.pdf,3
106,[geo] Couldn't we just...,3
107,[geo] Black carbon lofts wildfire smoke high into the stratosphere to form a persistent plume | Science,3
108,[geo] Governance of Highly Decentralized Nonstate Actors: the Case of Solar Geoengineering - Authors: Jesse L. Reynolds Gernot Wagner,3
109,[geo] Volcanoes and low earth orbit,3
110,[geo] [CDR] C2G Issues Call for Papers for Global Policy - C2G,3
111,[geo] Solar Radiation Management for Great Barrier Reef,3
112,[geo] SRM sea level rise,3
113,[geo] Engineering the Climate—or Deploying Disaster? Applying Just War Theory to Geoengineering,3
114,[CDR] [geo] High Level Review of a Wide Range of Proposed Marine Geoengineering Techniques,3
115,[geo] Fwd: New book on Solar Geoengineering,3
116,[geo] The Governance of Solar Geoengineering,3
117,[geo] SRM Debate tonight,3
118,[geo] GESAMP Report on Marine Geoengineering,3
119,"[geo] Survey, last chance to participate",3
120,[geo] The Wall review – A dystopian adventure for the climate change era | New Scientist,3
121,[geo] WHO forms human genome editing panel in wake of controversy - BioNews,3
122,[geo] Enhanced Rates of Regional Warming and Ocean Acidification After Termination of Large‐Scale Ocean Alkalinization,3
123,[geo] Digging for Geothermal Energy with Hypersonic Projectiles,3
124,[geo] Emmett (ULCA) Climate Engineering Fellowship in Environmental Law and Policy 2019-2021,3
125,[geo] climateanalytics_srm_brief_dec_2018.pdf,3
126,[geo] Analysis_of_global_methane_changes_after_the_1991_.pdf,3
127,"[geo] Neither [SRM], nor [CDR], RADIATIVE COOLING the 3rd, less intrusive geoengineering approach",3
128,[geo] Response of Surface Ultraviolet and Visible Radiation to Stratospheric SO2 Injections,3
129,[geo] Optimal Control of Aerosol Emissions into the Stratosphere to Stabilize the Earth’s Climate | SpringerLink,3
130,"[geo] Against Geoengineering, ETC",3
131,[geo] [CDR] Huh? Carbon Dioxide Emissions Raise Risk of Satellite Collisions - Scientific American,3
132,[geo] Now is the time to answer questions about climate engineering disease impacts | EurekAlert! Science News,3
133,[geo] 'Truly scary': researcher wants to brighten clouds to rescue the Great Barrier Reef,3
134,[geo] Carbon Engineering raises 11M,3
135,"[geo] Carbon Removal, Solar Geoengineering, and the Sustainable Development Goals",3
136,[geo] Solar geoengineering as part of an overall strategy for meeting the 1.5°C Paris target,3
137,"[geo] We need laws on geoengineering, ASAP",3
138,[geo] Wrapping glaciers and painting mountains - slippery slopes?,3
139,[geo] Medium      Is Geoengineering an Immorality of Last Resort?,3
140,[geo] Having to decide,3
141,[geo] Solar geoengineering must take temperature debt into account - Andreas Oschlies,3
142,[geo] The Ship Emission dilemma goes deeper,3
143,"[geo] Must read : Fwd: [CDR] 'We’re about to kill a massive, accidental experiment in reducing global warming'",3
144,[geo] SAI engineering costs - Aurora 2?,3
145,[geo] Ice Apocalypse | Grist,3
146,[geo] BBC News: Deep fat fryers may help form cooling clouds,3
147,[geo] Global Sequestration Potential of Increased Organic Carbon in Cropland Soils | Scientific Reports,3
148,[geo] ocean fertilization,3
149,[geo] Summary of House Science Hearing on climate and geo-eng: not so bad?,3
150,[geo] HUMOR & GEOENGINEERING,2
151,[geo] Academics statements on SRM,2
152,[geo] Geoengineering and geographers: Rewriting the Earth in what image?,2
153,[geo] The Emergent Politics of Geoengineering,2
154,"[geo] Climate Science: A Source of ""Anti-Greenhouse Gas"" Is Hidden in Marsh Mud | Inverse",2
155,[geo] A Geoengineering Trojan Horse,2
156,[geo] A Process Study on Thinning of Arctic Winter Cirrus Clouds With High‐Resolution ICON‐ART Simulations,2
157,[geo] Ocean Visions Session at OSM 2020,2
158,[geo] Higher temperatures increase suicide rates in the United States and Mexico,2
159,[geo] Governing Climate Engineering: A Proposal for Immediate Governance of Solar Radiation Management,2
160,[geo] Scientists' 'terrible' idea calls for snow cannons to pump ice in bid to save Antarctic ice shelf | The Japan Times,2
161,[geo] C2G Issues Call for Papers for Global Policy - C2G,2
162,[geo] The climate crisis is about neutralizing acid,2
163,[geo] Intergovernmental conferences,2
164,[geo] FT Opinion: Emission impossible? Harsh facts on climate change,2
165,[geo] [CDR] My posts,2
166,[geo] Overview of the state of play of SRM,2
167,[geo] A Longshot 2020 Candidate Wants To Push Geoengineering Into The Climate Debate | HuffPost,2
168,[geo] Ouch,2
169,[geo] UK Political Party Positions on SRM,2
170,Re[2]: [CDR] [geo] High Level Review of a Wide Range of Proposed Marine Geoengineering Techniques,2
171,[geo] Sensitivity of the surface climate to the height of the stratospheric sulfate layer,2
172,[geo] Fwd: [CDR] Sea level rise forecasts raised due to increased melting of ice caps,2
173,"[geo] Is solar geoengineering crazy, or just crazy enough to work?",2
174,[geo] Reminder for NASEM Reflecting Sunlight Mtg. 1 - DC,2
175,[geo] Educational resources,2
176,[geo] World’s biggest airplane takes flight,2
177,[geo] Climate Intervention Law class,2
178,[geo] Japan is calling for NETs proposals,2
179,[geo] Confronting Solar Geoengineering: What You Need to Know - UCSUSA,2
180,[geo] [CDR] Visualization: Fork in the road.,2
181,[geo] Request for information on international initiatives,2
182,[geo] Comments on Irvine et al. (2019) by Alan Robock,2
183,[CDR] [geo] Heinrich Boell evidence to UNEP,2
184,[geo] Ensuring a Safe Climate: A National Imperative for Research in Climate Intervention and Earth System Prediction (2019),2
185,[geo] Climate Activists With Cheap Balloons Could Create a DIY Geoengineering Nightmare,2
186,"[geo] Solar Geoengineering Research Zotero Library 1,500+ research papers",2
187,[geo] Security of solar radiation management geoengineering,2
188,[geo] How rogue activists with cheap balloons could take climate change into their own hands - MIT Technology Review,2
189,[geo] Quantifying the effects of solar geoengineering on vegetation,2
190,[geo] Nisbet-Sciences-Publics-Politics-34-36-Winter-2019.pdf,2
191,"[geo] Institutional Legitimacy and Geoengineering Governance: Ethics, Policy & Environment: Callies",2
192,[geo] Daniel Sutter: Politics and the economics of the Carbon Tax - Alabama Today,2
193,"[geo] Fwd: [GeoMIP_list] Geoengineering summer school, applications due March 30",2
194,[geo] Aerosol cooling underestimated? Recent Science article,2
195,Re[2]: [geo] Stratospheric aerosol injection tactics and costs in the first 15 years of deployment - IOPscience,2
196,[geo] Glacier methane,2
197,[geo] Geoengineering Google group - Moderator message,2
198,[geo] 3 jobs : Carnegie Climate Geoengineering Governance Initiative,2
199,[geo] The Risk of Termination Shock From Solar Geoengineering - Andy Parker1 and Peter J. Irvine2,2
200,[geo] Playing God? Multi-Faith Responses to Climate Engineering,2
201,"[geo] Symposium: (Sulphate) Geoengineering - Feasibility, Risks, Alternatives - Utrecht University",2
202,[geo] Sensitivity of atmospheric CO2 growth rate to observed changes in terrestrial water storage,2
203,[geo] C2G2 new hires,2
204,[geo] Fwd: SRM ocean study,2
205,"[geo] Neither [geo-SRM], nor [CDR], RADIATIVE COOLING the third, less intrusive geoengineering approach",2
206,[geo] SRM not as effective as CO2 mitigation for Arctic sea ice loss in hitting the 1.5 and 2° C COP climate targets,2
207,"[geo] The Tollgate Principles for the Governance of Geoengineering: Moving Beyond the Oxford Principles to an Ethically More Robust Approach: Ethics, Policy & Environment: Vol 21, No 2",2
208,[geo] More on SRM governance,2
209,[geo] [CDR] ABECCS,2
210,[geo] [CDR] Marine geoengineering including ocean fertilization to be regulated under amendments to international treaty,2
211,[geo] Ocean Solutions to Address Climate Change and Its Effects on Marine Ecosystems,2
212,[geo] FCEA SRM governance report,2
213,[geo] Electrostatic levitation of volcanic ash into the ionosphere and its abrupt effect on climate | Geology | GeoScienceWorld,2
214,"[geo] Rise in insect pests under climate change to hit crop yields, study says",2
215,[geo] The Impact of Solar Radiation Management on Optimal Climate Policy in an Uncertain World,2
216,"[geo] Attribution of Arctic sea ice decline from 1953 to 2012 to influences from natural, greenhouse-gas and anthropogenic aerosol forcing",2
217,[geo] Solar geoengineering rises in the East,2
218,[geo] Science for the people - special issue,2
219,"[geo] A 3rd, new and less intrusive geoengineering approach",2
220,[geo] Solar Geoengineering and Democracy,2
221,[geo] TED Talk on CO2 removal,2
222,[geo] A scenario process to inform Australian geoengineering policy,2
223,[geo] Aitken mode spray in Arctic Winter,2
224,[geo] C2G2 Terminology Guide,2
225,"[geo] Constructing Legitimacy in Geoengineering Discourse: The Politics of Representation in Science Policy Literature: Science as Culture: Vol 0, No 0",2
226,[geo] Increasing Arctic Sea Ice Albedo Using Localized Reversible Geoengineering - Field - - Earth's Future - Wiley Online Library,2
227,"[geo] Climate Engineering, Sustainable Development Goals, and the Tangled Web We Weave",2
228,[geo] Climate Change | Climate change Conferences | Climatology conferences | 2018 |Rome| Italy | Europe,2
229,[geo] Pew research on solar geoengineering,2
230,[geo] Thermal removal of carbon dioxide from the atmosphere: energy requirements and scaling issues | SpringerLink,2
231,[geo] Gerrard and Hester 2018 Climate Engineering and the Law.pdf,2
232,[geo] ACPD - The climate effects of increasing ocean albedo: An idealized representation of solar geoengineering,2
233,[geo] ACPD - Changes in clouds and thermodynamics under solar geoengineering and implications for required solar reduction,2
234,[geo] In Science Mag: A dusting of salt could cool the planet,2
235,"[geo] Geoengineering (glaciers) - or more ""magical thinking"" from Nature?",2
236,[geo] Why current negative-emissions strategies remain ‘magical thinking’,2
237,[geo] Fwd: [CDR] BECCS+ Algae,2
238,"[geo] There Is No Time Left, by by Robert Hunziker",2
239,[geo] How do we categorise carbon removal? (C2G2),2
240,[geo] Climate Engineering: From ‘Slippery slope’ to ‘uphill struggle’??,2
241,[geo] WSJ      A Big-Sky Plan to Cool the Planet,2
242,"[geo] ACP - Abstract - Energy transport, polar amplification, and ITCZ shifts in the GeoMIP G1 ensemble",2
243,[geo] Patreon/expenses,2
244,[geo] We can now harvest electricity from Earth's heat using quantum tunnelling,2
245,[geo] Solar Minimum might buy more time?,2
246,[CDR] [geo] Leaked policy draft of SR15 - what do you think?,2
247,[geo] Enhanced weathering of olivine in seawater: The efficiency as revealed by thermodynamic scenario analysis - ScienceDirect,2
248,[geo] One of the Largest Cities in California Has a Plan to Drastically Lower Its Temperature,2
249,"[geo] Artificially reducing Sun's rays to stop global warming could destroy the world, says study",2
250,[geo] Potentially dangerous consequences for biodiversity of solar geoengineering implementation and termination,2
251,[CDR] [geo] A Critical Examination of Geoengineering. Economic and Technological Rationality in Social Context,2
252,[geo] Pre-submission peer review,2
253,[geo] new ECS modeling: Climate change upper limit no so bad?,2
254,[geo] [CDR] CDR Cost Curve,2
255,[geo] The 'other' moral hazard...,2
256,"[geo] E.coli to capture CO2, convert to formic acid?",2
257,[geo] [CDR] Open discussion of negative emissions is urgently needed | Nature Energy,2
258,[geo] Geoengineering collaborations,2
259,[geo] collaboration - Security of Solar Radiation Management geoengineering,2
260,[geo] Natural climate solutions,2
261,[geo] First look: Mapping carbon capture projects,2
262,[geo] The Ethics of Climate Engineering: Solar Radiation Management and Non-Ideal Justice // Reviews // Notre Dame Philosophical Reviews // University of Notre Dame,2
263,"[geo] Carbon Emissions, Stratospheric Aerosol Injection, and Unintended Harms - Ethics & International Affairs : Ethics & International Affairs",2
264,[geo] Glacial run-off impurties—what are they?,2
265,Re[2]: [geo] Scientists Look to Bali Volcano for Clues to Curb Climate Change - Scientific American,2
266,[geo] Media inquiry about the Bali volcano,2
267,[geo] We can and must govern climate engineering,2
268,9% for 36 gton/yr [geo] ocean fertilization,2
269,[geo] Impacts of hemispheric solar geoengineering on tropical cyclone frequency | Nature Communications,2
270,[geo] Mitigation terminology,2
271,[geo] Allam cycle gas power plant producing pure CO2 & electricity at cost of regular gas power plants,2
272,[geo] New research on soil carbon sinks,2
273,[geo] Can religions help in the fight against climate change? | ABS-CBN News,2
274,subject,1
275,[geo] FUNDING FOR SOLAR GEOENGINEERING FROM 2008 TO 2018,1
276,[geo] Newsletter of Week 37 of 2019,1
277,[geo] Good news for the pro El Nino community,1
278,[geo] CNBC show today - 10 minutes and well done,1
279,"[geo] Technology Review article, including geoengineering",1
280,[geo] Fwd: Join us for the Climate Restoration Forum,1
281,[geo] Fwd: Job Opportunity - SCoPEx Advisory Committee Executive Coordinator,1
282,[geo] FUNDING FOR SOLAR GEOENGINEERING,1
283,[geo] Modellers wanted - Hurricane mitigation - sea surface cooling,1
284,[geo] Reynold 2019 Solar geoengineering to reduce cliamte change A review of governance proposals.pdf,1
285,"[geo] What if the Arctic melts, and we lose the great white shield? Interview with environmental policy expert Durwood Zaelke Dan Drollette Jr.",1
286,[geo] Climate experts’ views on geoengineering depend on their beliefs about climate change impacts,1
287,[geo] Newsletter of Week 36 of 2019,1
288,[geo] GNDE-A-Blueprint-for-Europes-Just-Transition.pdf,1
289,[geo] Refreezing the Arctic: How to bring the ice back with geoengineering | New Scientist,1
290,[geo] Untested tech not part of climate fix guidance: Industry group,1
291,[geo] Terraforming Education Programme,1
292,[geo] NEW CONSORTIUM BRINGS TOGETHER SOLAR GEOENGINEERING MODELING EXPERTS,1
293,[geo] Geoengineering Trojan horses threaten Earth - Taipei Times,1
294,[geo] Newsletter of Week 35 of 2019,1
295,[geo] UK Parliament clean growth report,1
296,[geo] Industry guidance touts untested tech as climate fix,1
297,[geo] Please register with Orcid,1
298,[geo] OPEN LETTER TO SCOPEX ADVISORY COMMITEE,1
299,[geo] Long-Term Macroeconomic Effects of Climate Change: A Cross-Country Analysis,1
300,"[geo] Delayed and expanding projects, new initiatives and revivals",1
301,"[geo] What do people think when they think about solar geoengineering? A review of empirical social science literature, and prospects for future research - Burns - 2016 - Earth's Future - Wiley Online Library",1
302,[geo] Seasonal Injection Strategies for Stratospheric Aerosol Geoengineering,1
303,[geo] Pakistan’s options for climate geo-engineering | Pakistan Today,1
304,[geo] Astana's plan to stay warm in the winter? Build a ring of one million trees | Cities | The Guardian,1
305,[geo] Newsletter of Week 34 of 2019,1
306,[geo] Fwd: Met Office: Name UK storms after fossil fuel companies #PolluteTheirRe,1
307,[geo] Disentangling the rhetoric of public goods from their externalities: The case of climate engineering,1
308,[geo] Newsletter of Week 33 of 2019,1
309,[geo] (99+) (PDF) Human Intervention in the Earth’s Climate: The Governance of Geoengineering in 2025+ | Masahiko Haraguchi - Academia.edu,1
310,[geo] Seminar/discussion on Climate Sinks in Sydney Australia,1
311,[geo] Climate Response to Pulse Versus Sustained Stratospheric Aerosol Forcing - Duan - - Geophysical Research Letters - Wiley Online Library,1
312,[geo] Newsletter of Week 32 of 2019,1
313,[geo] Glacier melt rate,1
314,[geo] GeoMIP late tickets,1
315,[geo] Tweet from Arvind P. Ravikumar (@arvindpawan1),1
316,[geo] Arctic fires,1
317,"[geo] Deadline extended to Aug. 8: AMS Joint Session: Aerosol Approaches to Climate Engineering, Boston, Jan. 16-20, 2020",1
318,[geo] Research Associate in Responsible Innovation and Extreme Technological Risk,1
319,"[geo] Reminder: Geoengineering session at Fall AGU Meeting, December 9-13, 2019, San Francisco",1
320,[geo] Newsletter of Week 31 of 2019,1
321,[geo] Fwd: Second Newsletter from Harvard's Solar Geoengineering Research Program,1
322,[geo] Looking for the big picture,1
323,[geo] Geoengineering is very controversial. How can you do experiments? Harvard has some ideas.,1
324,[geo] This Swiss Town Is Protecting Its Glacier With a Blanket,1
325,[geo] US Conservative and Libertarian Experts and Solar Geoengineering: An Assessment,1
326,[geo] Complementing CO2 emission reduction by solar radiation management might strongly enhance future welfare,1
327,[geo] A Process Study on Thinning of Arctic Winter Cirrus Clouds With High‐Resolution ICON‐ART Simulations - Gruber - 2019 - JGR Atmospheres - Wiley,1
328,[geo] GMRC - GEOENGINEERING MODELING RESEARCH CONSORTIUM,1
329,[geo] Fwd: Researching at the Top of a Slippery Slope?,1
330,[geo] Newsletter of Week 30 of 2019,1
331,[geo] Fwd: New NSF-BSF Programs and Upcoming Dates.,1
332,[geo] Fwd: Google Alert - climate engineering,1
333,[geo] Stabilizing the West Antarctic Ice Sheet by surface mass deposition,1
334,[geo] Surface film and fake clouds in $444m plan to save Great Barrier Reef,1
335,[geo] chaos theory and particle size relevant to SRM,1
336,[geo] Newsletter of Week 29 of 2019,1
337,[geo] CO2 is more about ocean change than climate change,1
338,[geo] Assist journalists,1
339,[geo] The Anticipatory Governance of Solar Radiation Management,1
340,[geo] Strategically Distorted Communications on Climate Change and Climate Engineering on YouTube,1
341,[geo] Newsletter of Week 28 of 2019,1
342,[geo] If geoengineering goes rogue - Reaching for the sunshade: July 2030,1
343,[geo] IS IT TIME FOR A RADICAL NEW APPROACH TO FIGHTING GLOBAL WARMING,1
344,"[geo] Africa Science Magazine, Dialing down the sun",1
345,"[geo] Stratospheric imperialism: Liberalism, (eco)modernization, andideologies of solar geoengineering research - Kevin Surprise, 2019",1
346,"[geo] Stratospheric imperialism: Liberalism, (eco)modernization, and ideologies of solar geoengineering research - Kevin Surprise, 2019",1
347,[geo] JUNK SCIENCE Geoengineering: The Deadly New Global “Miasma”,1
348,[geo] Committed emissions from existing energy infrastructure jeopardize 1.5 °C climate target | Nature,1
349,[geo] Newsletter of Week 27 of 2019,1
350,"[geo] Measuring, Modeling, Controlling the Climate? Numerical Expertise in U.S. Climate Engineering Politics",1
351,[geo] Contrail cirrus radiative forcing for future air traffic,1
352,[geo] Fwd: [CDR] Fwd: AI grant opportunity by LDF and Microsoft,1
353,[geo] Mother Nature on the job,1
354,[geo] Greenland ice,1
355,"[geo] Materialized ideology and environmental problems: The cases of solar geoengineering and agricultural biotechnology - Ryan Gunderson, Diana Stuart, Brian Petersen, 2019",1
356,[geo] Newsletter of Week 26 of 2019,1
357,[geo] [1906.05433] Tackling Climate Change with Machine Learning,1
358,[geo] Cambridge's Centre For Climate Repair argues that greening the world's oceans and refreezing the Arctic will accelerate climate restoration.,1
359,[geo] Newsletter of Week 25 of 2019,1
360,"[geo] Geoengineering session at Fall AGU Meeting, December 9-13, 2019, San Francisco",1
361,[geo] Suflur - good or bad?,1
362,[geo] Ancient Upheavals Show How To Geoengineer A Stable Climate,1
363,[geo] Should we fertilize oceans or seed clouds? No one knows,1
364,[geo] [CDR] Lawsuit seeking SRM / CDR,1
365,[geo] Lawsuit seeking SRM / CDR,1
366,[geo] Newsletter of Week 24 of 2019,1
367,[geo] NYTimes article on SRM,1
368,[geo] House Tackles Nat-Sec Implications of Climate Manipulation,1
369,[geo] Newsletter of Week 23 of 2019,1
370,[geo] Expanding the debate in Latin America,1
371,[geo] NASEM event video links,1
372,[geo] Fwd: ACP - Mechanism of ozone loss under enhanced water vapour conditions in the mid-latitude lower stratosphere in summer,1
373,[geo] Newsletter of Week 22 of 2019,1
374,[geo] Seeding the clouds to reach the sky: Will China’s weather modification practices support the legitimization of climate engineering? | SpringerLink,1
375,"[geo] AMS Joint Session: Aerosol Approaches to Climate Engineering, Boston, Jan. 16-20, 2020",1
376,[geo] Off topic? annex_B.pdf,1
377,[geo] LOOK WHAT THE PATENT SEARCH ENGINE DRAGGED IN,1
378,"[geo] Prospects for a multi-stakeholder dialogue on climate engineering: Environmental Politics: Vol 28, No 3",1
379,[geo] Newsletter of Week 21 of 2019,1
380,[geo] Fwd: Geoengineering experiments: the new and the updated,1
381,"[geo] Solar Geoengineering, Governance, and Parametric Insurance",1
382,[geo] Newsletter of Week 20 of 2019,1
383,Fwd: [geo] Refreezing the poles and greening the oceans: Centre for Climate Repair launches in Cambridge,1
384,[geo] Emerging risk governance for stratospheric aerosol injection as a climate management technology,1
385,[geo] Tools of the trade: practices and politics of researching the future in climate engineering,1
386,[geo] Refreezing the poles and greening the oceans: Centre for Climate Repair launches in Cambridge,1
387,[geo] Newsletter of Week 19 of 2019,1
388,[geo] Fwd: Of possible interest for the Geoengineering listserv,1
389,[geo] THE BILLIONAIRES' GUIDE TO HACKING THE PLANET,1
390,[geo] Billionaires and SRM,1
391,[geo] The response of permafrost and high latitude ecosystems under large scale stratospheric aerosol injection and its termination,1
392,[geo] Fwd: Reminder for NASEM Reflecting Sunlight Mtg. 1 - DC,1
393,"[geo] Application deadline extended! Summer School on geoengineering governance, August 5 - 11, 2019",1
394,[geo] the-carbon-brief-interview-prof-joanna-haigh,1
395,[geo] Newsletter of Week 18 of 2019,1
396,[geo] Political economy suggests that geoengineering is likely to be used,1
397,[geo] Rethinking the future of governance through games,1
398,[geo] Whether to engineer the planet in order to fix it By JULIA ROSEN,1
399,[geo] 20kms hybrid airship,1
400,[geo] NAS SRM mtg,1
401,[geo] Lenton_et_al-2019-Nature_Climate_Change.pdf,1
402,[geo] The desperate race to cool the ocean before it’s too late,1
403,[geo] horton_and_keith_climate_policy_2019.pdf,1
404,[geo] Newsletter of Week 17 of 2019,1
405,[geo] Looking for Climate Solutions Down in the Dirt - Eos,1
406,[geo] Possible Nitrous Oxide enzyme scheme,1
407,"[geo] Watch ""Climate Engineering"" playlist on YouTube",1
408,[geo] Geoengineering Is Inevitable in the Face of Climate Change. But at What Cost?,1
409,[geo] MIGHT RESEARCH ON SOLAR GEOENGINEERING RESEMBLE ITS BROADER “FREE-DRIVER” DYNAMICS?,1
410,[geo] Recalibrating our work after the UNEA resolution,1
411,[geo] TiO2,1
412,[geo] Policy sector perspectives on geoengineering risk and governance,1
413,[geo] Beyond solutionist science for the Anthropocene:,1
